id,name
0,abseiling
1,acting in play
2,adjusting glasses
3,air drumming
4,alligator wrestling
5,answering questions
6,applauding
7,applying cream
8,archaeological excavation
9,archery
10,arguing
11,arm wrestling
12,arranging flowers
13,arresting
14,assembling bicycle
15,assembling computer
16,attending conference
17,auctioning
18,baby waking up
19,backflip (human)
20,baking cookies
21,bandaging
22,barbequing
23,bartending
24,base jumping
25,bathing dog
26,battle rope training
27,beatboxing
28,bee keeping
29,being excited
30,being in zero gravity
31,belly dancing
32,bench pressing
33,bending back
34,bending metal
35,biking through snow
36,blasting sand
37,blending fruit
38,blowdrying hair
39,blowing bubble gum
40,blowing glass
41,blowing leaves
42,blowing nose
43,blowing out candles
44,bobsledding
45,bodysurfing
46,bookbinding
47,bottling
48,bouncing ball (not juggling)
49,bouncing on bouncy castle
50,bouncing on trampoline
51,bowling
52,braiding hair
53,breading or breadcrumbing
54,breakdancing
55,breaking boards
56,breaking glass
57,breathing fire
58,brush painting
59,brushing floor
60,brushing hair
61,brushing teeth
62,building cabinet
63,building lego
64,building sandcastle
65,building shed
66,bulldozing
67,bungee jumping
68,burping
69,busking
70,calculating
71,calligraphy
72,canoeing or kayaking
73,capoeira
74,capsizing
75,card stacking
76,card throwing
77,carrying baby
78,carrying weight
79,cartwheeling
80,carving ice
81,carving marble
82,carving pumpkin
83,carving wood with a knife
84,casting fishing line
85,catching fish
86,catching or throwing baseball
87,catching or throwing frisbee
88,catching or throwing softball
89,celebrating
90,changing gear in car
91,changing oil
92,changing wheel (not on bike)
93,chasing
94,checking tires
95,checking watch
96,cheerleading
97,chewing gum
98,chiseling stone
99,chiseling wood
100,chopping meat
101,chopping wood
102,clam digging
103,clapping
104,clay pottery making
105,clean and jerk
106,cleaning gutters
107,cleaning pool
108,cleaning shoes
109,cleaning toilet
110,cleaning windows
111,climbing a rope
112,climbing ladder
113,climbing tree
114,closing door
115,coloring in
116,combing hair
117,contact juggling
118,contorting
119,cooking chicken
120,cooking egg
121,cooking on campfire
122,cooking sausages (not on barbeque)
123,cooking scallops
124,cosplaying
125,coughing
126,counting money
127,country line dancing
128,cracking back
129,cracking knuckles
130,cracking neck
131,crawling baby
132,crocheting
133,crossing eyes
134,crossing river
135,crying
136,cumbia
137,curling (sport)
138,curling eyelashes
139,curling hair
140,cutting apple
141,cutting cake
142,cutting nails
143,cutting orange
144,cutting pineapple
145,cutting watermelon
146,dancing ballet
147,dancing charleston
148,dancing gangnam style
149,dancing macarena
150,deadlifting
151,dealing cards
152,decorating the christmas tree
153,decoupage
154,delivering mail
155,digging
156,dining
157,directing traffic
158,disc golfing
159,diving cliff
160,docking boat
161,dodgeball
162,doing aerobics
163,doing jigsaw puzzle
164,doing laundry
165,doing nails
166,doing sudoku
167,drawing
168,dribbling basketball
169,drinking shots
170,driving car
171,driving tractor
172,drooling
173,drop kicking
174,drumming fingers
175,dumpster diving
176,dunking basketball
177,dyeing eyebrows
178,dyeing hair
179,eating burger
180,eating cake
181,eating carrots
182,eating chips
183,eating doughnuts
184,eating hotdog
185,eating ice cream
186,eating nachos
187,eating spaghetti
188,eating watermelon
189,egg hunting
190,embroidering
191,entering church
192,exercising arm
193,exercising with an exercise ball
194,extinguishing fire
195,faceplanting
196,falling off bike
197,falling off chair
198,feeding birds
199,feeding fish
200,feeding goats
201,fencing (sport)
202,fidgeting
203,filling cake
204,filling eyebrows
205,finger snapping
206,fixing bicycle
207,fixing hair
208,flint knapping
209,flipping bottle
210,flipping pancake
211,fly tying
212,flying kite
213,folding clothes
214,folding napkins
215,folding paper
216,front raises
217,frying vegetables
218,gargling
219,geocaching
220,getting a haircut
221,getting a piercing
222,getting a tattoo
223,giving or receiving award
224,gold panning
225,golf chipping
226,golf driving
227,golf putting
228,gospel singing in church
229,grinding meat
230,grooming cat
231,grooming dog
232,grooming horse
233,gymnastics tumbling
234,hammer throw
235,hand washing clothes
236,head stand
237,headbanging
238,headbutting
239,helmet diving
240,herding cattle
241,high fiving
242,high jump
243,high kick
244,historical reenactment
245,hitting baseball
246,hockey stop
247,holding snake
248,home roasting coffee
249,hopscotch
250,hoverboarding
251,huddling
252,hugging (not baby)
253,hugging baby
254,hula hooping
255,hurdling
256,hurling (sport)
257,ice climbing
258,ice fishing
259,ice skating
260,ice swimming
261,inflating balloons
262,installing carpet
263,ironing
264,ironing hair
265,javelin throw
266,jaywalking
267,jetskiing
268,jogging
269,juggling balls
270,juggling fire
271,juggling soccer ball
272,jumping bicycle
273,jumping into pool
274,jumping jacks
275,jumping sofa
276,jumpstyle dancing
277,karaoke
278,kicking field goal
279,kicking soccer ball
280,kissing
281,kitesurfing
282,knitting
283,krumping
284,land sailing
285,laughing
286,lawn mower racing
287,laying bricks
288,laying concrete
289,laying decking
290,laying stone
291,laying tiles
292,leatherworking
293,letting go of balloon
294,licking
295,lifting hat
296,lighting candle
297,lighting fire
298,listening with headphones
299,lock picking
300,long jump
301,longboarding
302,looking at phone
303,looking in mirror
304,luge
305,lunge
306,making a cake
307,making a sandwich
308,making balloon shapes
309,making bubbles
310,making cheese
311,making horseshoes
312,making jewelry
313,making latte art
314,making paper aeroplanes
315,making pizza
316,making slime
317,making snowman
318,making sushi
319,making tea
320,making the bed
321,marching
322,marriage proposal
323,massaging back
324,massaging feet
325,massaging legs
326,massaging neck
327,massaging person's head
328,metal detecting
329,milking cow
330,milking goat
331,mixing colours
332,moon walking
333,mopping floor
334,mosh pit dancing
335,motorcycling
336,mountain climber (exercise)
337,moving baby
338,moving child
339,moving furniture
340,mowing lawn
341,mushroom foraging
342,needle felting
343,news anchoring
344,opening bottle (not wine)
345,opening coconuts
346,opening door
347,opening present
348,opening refrigerator
349,opening wine bottle
350,packing
351,paragliding
352,parasailing
353,parkour
354,passing American football (in game)
355,passing American football (not in game)
356,passing soccer ball
357,peeling apples
358,peeling banana
359,peeling potatoes
360,person collecting garbage
361,petting animal (not cat)
362,petting cat
363,petting horse
364,photobombing
365,photocopying
366,picking apples
367,picking blueberries
368,pillow fight
369,pinching
370,pirouetting
371,planing wood
372,planting trees
373,plastering
374,playing accordion
375,playing american football
376,playing badminton
377,playing bagpipes
378,playing basketball
379,playing bass guitar
380,playing beer pong
381,playing billiards
382,playing blackjack
383,playing cards
384,playing cello
385,playing checkers
386,playing chess
387,playing clarinet
388,playing controller
389,playing cricket
390,playing cymbals
391,playing darts
392,playing didgeridoo
393,playing dominoes
394,playing drums
395,playing field hockey
396,playing flute
397,playing gong
398,playing guitar
399,playing hand clapping games
400,playing harmonica
401,playing harp
402,playing ice hockey
403,playing keyboard
404,playing kickball
405,playing laser tag
406,playing lute
407,playing mahjong
408,playing maracas
409,playing marbles
410,playing monopoly
411,playing netball
412,playing nose flute
413,playing oboe
414,playing ocarina
415,playing organ
416,playing paintball
417,playing pan pipes
418,playing piano
419,playing piccolo
420,playing pinball
421,playing ping pong
422,playing poker
423,playing polo
424,playing recorder
425,playing road hockey
426,playing rounders
427,playing rubiks cube
428,playing saxophone
429,playing scrabble
430,playing shuffleboard
431,playing slot machine
432,playing squash or racquetball
433,playing tennis
434,playing trombone
435,playing trumpet
436,playing ukulele
437,playing violin
438,playing volleyball
439,playing with trains
440,playing xylophone
441,poaching eggs
442,poking bellybutton
443,pole vault
444,polishing furniture
445,polishing metal
446,popping balloons
447,pouring beer
448,pouring milk
449,pouring wine
450,preparing salad
451,presenting weather forecast
452,pretending to be a statue
453,pull ups
454,pulling espresso shot
455,pulling rope (game)
456,pumping fist
457,pumping gas
458,punching bag
459,punching person (boxing)
460,push up
461,pushing car
462,pushing cart
463,pushing wheelbarrow
464,pushing wheelchair
465,putting in contact lenses
466,putting on eyeliner
467,putting on foundation
468,putting on lipstick
469,putting on mascara
470,putting on sari
471,putting on shoes
472,putting wallpaper on wall
473,raising eyebrows
474,reading book
475,reading newspaper
476,recording music
477,repairing puncture
478,riding a bike
479,riding camel
480,riding elephant
481,riding mechanical bull
482,riding mule
483,riding or walking with horse
484,riding scooter
485,riding snow blower
486,riding unicycle
487,ripping paper
488,roasting marshmallows
489,roasting pig
490,robot dancing
491,rock climbing
492,rock scissors paper
493,roller skating
494,rolling eyes
495,rolling pastry
496,rope pushdown
497,running on treadmill
498,sailing
499,salsa dancing
500,saluting
501,sanding floor
502,sanding wood
503,sausage making
504,sawing wood
505,scrambling eggs
506,scrapbooking
507,scrubbing face
508,scuba diving
509,seasoning food
510,separating eggs
511,setting table
512,sewing
513,shaking hands
514,shaking head
515,shaping bread dough
516,sharpening knives
517,sharpening pencil
518,shaving head
519,shaving legs
520,shearing sheep
521,shining flashlight
522,shining shoes
523,shoot dance
524,shooting basketball
525,shooting goal (soccer)
526,shooting off fireworks
527,shopping
528,shot put
529,shouting
530,shoveling snow
531,shredding paper
532,shucking oysters
533,shuffling cards
534,shuffling feet
535,side kick
536,sieving
537,sign language interpreting
538,silent disco
539,singing
540,sipping cup
541,situp
542,skateboarding
543,ski ballet
544,ski jumping
545,skiing crosscountry
546,skiing mono
547,skiing slalom
548,skipping rope
549,skipping stone
550,skydiving
551,slacklining
552,slapping
553,sled dog racing
554,sleeping
555,slicing onion
556,smashing
557,smelling feet
558,smoking
559,smoking hookah
560,smoking pipe
561,snatch weight lifting
562,sneezing
563,snorkeling
564,snowboarding
565,snowkiting
566,snowmobiling
567,somersaulting
568,spelunking
569,spinning plates
570,spinning poi
571,splashing water
572,spray painting
573,spraying
574,springboard diving
575,square dancing
576,squat
577,squeezing orange
578,stacking cups
579,stacking dice
580,standing on hands
581,staring
582,steer roping
583,steering car
584,sticking tongue out
585,stomping grapes
586,stretching arm
587,stretching leg
588,sucking lolly
589,surfing crowd
